id,manual terms,role,feature,benefit,
2499,,home owner,"monitor external wall, if there any mud",I can repair it on time,
2500,,home occupant,"my smart home to send me texts or email updates on energy use,",I know where I'm using the most energy.,
2501,,cook,the stove and oven to auto set to the correct temperature for the dish I'm cooking,It cooks appropriately,
2502,,exercise enthusiast,A weight scale to store and analyze my weight trends,I know where I stand,
2503,,home owner,my smart home to remind me when my bills are due.,I do not risk having my utilities disconnected due to late or non-payment,
2504,,home occupant,"my smart home to notify me immediately if there are weather alters in my area,",I know if something bad is happening.,
2505,,coffee lover,a coffee pot that can be controlled via mobile app,I don't have to manually set the pot,
2506,,cook,I want my smart home to project voice activated recipes and information from the internet onto the wall,I don't have to touch anything with dirty hands if I need to know something unexpected,
2507,,money conscious person,To be aware of my utility usage and estimated cost at any time,I can not be surprised when the bills arrive and can take steps to cut back when we've used excess.,
2508,,woman who wears makeup,voice activated light settings with different shades of lighting,"I can see myself in ""natural light"" and other light while still in my bathroom",
2509,,person who hates stepping out the shower in the cold air,a heater that will heat the bathroom to a certain degree while the shower is on,I'm comfortable after my showers,
2510,,home owner,my smart home to let me know when the air inside becomes contaminated with uncleanliness or germs that can spread,I can use an air cleaning system to clean the air,
2511,,pet owner,a pet dish that will auto fill with water and food,I don't forget to feed my cats,
2512,,gardener,moisture detecting sensors in the ground,the sprinklers can automatically water as necessary,
2513,,parent,the pool to alarm when anyone gets in without using the code,my toddlers won't drown,
2514,,parent,the door to alarm when anyone under a certain height opens it,my toddlers won't escape,
2515,,home occupant,monitor room lights.,to mentain room lights as per requirment all time,
2516,,pet owner,an alarm when the dog is chewing something I didn't give him,so he can't chew everything in site,
2517,,pet owner,my smart home to automatically raise windows in the event of a fire ,I and my pets can escape (especially so they can escape when I am not home),
2518,,pet owner,a camera linked to my smart phone with video of the dogs,i can supervise them when I'm not in the same room,
2519,,cat owner,a siren to go off when the cat gets on anything they shouldn't,they don't contaminate food or make messes,
2520,,home occupant,monitor electric line if there any lickege.,prevent possible disaster,
2521,,home occupant,my smart home to automatically contact the fire department in case of a fire,they can come as quickly as possible,
2522,,dog owner,an alarm on the garbage can that goes off when anything is removed by something on 4 legs,they don't eat out of the garbage,
2523,,home occupant,my smart home to automatically dispense fire extinguishing (safe) chemicals in case of a major fire,damage will be limited,
2524,,home occupant,self cleaning toilet,so its always clean,
2525,,home occupant,a self closing toilet with a lock,I don't sit in the water and toddlers can't get in to play,
2526,,payer of bills,an alert when the water in the toilet or any water appliance is leaking,i don't waste water,
2527,,payer of bills,light sensors built into plugs used for Christmas lights,so they shut off in daylight automatically,
2528,,home occupant,my smart phone notify me when my fevarite program on my TV.,I can watch it.,
2529,,home occupant,Self loading washer and dryer ,Myself and elderly people or people with back problems can have an easier time doing laundry,
2530,,parent,notify me if there are any shortage in my kitchen product.,I can buy at time.,
2531,,home occupant,norify me if I put things in wrong place,I can put it on right place,
2532,,home occupant,Television that prioritizes my favorite programs,I can enjoy television with friends and family,
2533,,pet owner,Self refilling food bowls,My pets can have enough to eat if I have to take long trips,
2534,,home occupant,appliances that automatically power off when not in use,I can save energy and money,
2535,,consumer,App that lets me know when I need to purchase more of something,I never run out of things ,
2536,,home occupant,self watering plants,My plants can continue to be watered when I'm away,
2538,,video game player,automatic updating consoles,I can get the latest downloads and updates instantly,
2539,,home occupant,Air chemical detection system,"I know what is in the air, especially when home renovation is happening",
2540,,caregiver,fall detection walls/floors,I know if a loved one has fallen or is hurt,
2541,,home occupant,Smart recipe books,I can make meals/recipes based on whatever I have in the house,
2545,,home occupant,a setting that will turn off all lights when movement is not detected in a room,I can save on electricity.,
2546,,home occupant,a stove that has voice comand settings ,can save time whilst I prep.,
2547,,home occupant,a siri like feature where my house can google things,I can have a talking house.,
2548,,home occupant,to be able to control the heat of the water to the degree,"I can get the perfect shower, or bath.",
2549,,home occupant,automatic locks on the doors,I ensure there will never be human error.,
2550,,home occupant,an alarm feature that has pressurse sense windows  ,I can ensure the protection of my home.,
2551,,home occupant,A feautre to take the humidity out of the air,it is refreshable breathable air.,
2552,,home occupant,"A thermostat that flucuates with the peak levels of electricity use, and regulates itself",I save on energy costs.,
2553,,home occupant,"A self cleaning shower, and toilet",I can save time in cleaning.,
2554,,home occupant,A floor feature  that sucks up loose debris intov vents in the wall,I never have to vaccum again.,
2555,,home occupant,when leaving outside all the lights to be turned off.,my current bill would be less.,
2556,,parent,should monitor when the tv is on and what kind of shows my kid sees,i will guide her well,
2557,,parent,to get alerts when any kind of natural disasters going to happen.,to save my family.,
2558,,parent,to have all the required medicines,i dont want to go to shop last time.,
2559,,home occupant,to wake me up at the correct time in the morning.,i can prepare and move ,
2560,,home occupant,"to get alert daily weather, accordingly set the water heater temperature.",so that i can get a good bath and wear clothes accordingly.,
2561,,home occupant,to get alerts when someone knocks my door.,i can get alerted when a stranger enters in.,
2562,,home occupant,to know when the water in the tank is going to fill.,so that water can be saved from pouring from it.,
2563,,home owner,my home to regulate my energy use,I can save money and help the environment.,
2564,,home occupant,"when going to bed , in a single click all the led bulbs, switches should be turned off.",so that i dont want to go to all the rooms to off the unwanted lights.,
2565,,parent,the house to wake my kids up in the morning,I dont have to do it,
2566,,home owner,an automatic vacuum,the house is clean when I get home from work,
2567,,home occupant,to know any cameras targeting us to capture us without our permission.,we would be more safe.,
2568,,home owner,the doors to lock automatically behind me when coming or going.,the house will always be secure,
2569,,home owner,outside motion detectors and a video recorder,I know if someone has been trespassing on my property,
2570,,mother,the bathtub to self regulate water tempertature,my kids never get burned by hot water,
2571,,home owner,a smart dishwasher,my dishes will be cleaned while I'm at work,
2572,,occupant,my tv to find my favorite shows automatically,I dont have to search for them,
2573,,home owner,a gas detector,"if there's carbon monoxide or other poisonous gases inside, the authorities are notified",
2574,,pet owner,my home to remind me when its time to walk the dog,I never forget,
2575,,home occupant,a smart washing machine that turns on automatically or by remote command,the clothes are washed and ready to be placed in the dryer by the time I get home from work,
2576,,home owner,the windows to open and close at the touch of a button,I never struggle with opening or closing a window again.,
2577,,home occupant,water leak detection,I or authorities are notified if a pipe bursts or leaks,
2578,,parent,my kitchen to tell me when Im low on the kids favorite foods,I never run out of anything,
2579,,child,a smart video game system,it knows what I want to play when I turn it on,
2580,,home occupant,my home to turn off lights automatically when someone leaves a room,electricity is not wasted.,
2581,,home occupant,smart smoke alarms,the authorities are notified if there's a fire and my family is awoken so they can escape.,
2582,,home owner,the house to inform me of any insect intruders,I can keep my home bug free,
2583,,parent,a pool alarm,I am notified if a child should wander onto the grounds where the swimming pool is located,
2584,,home office worker,a smart computer system,it is up and ready for work in the morning automatically without my having to turn it on,
2585,,home occupant,a bathtub that fills to a predetermined water level,I don't use an excess of water,
2586,,home occupant,a thermostat that regulates the temperature inside the house and turns off when needed,it cuts down on energy costs,
2587,,home occupant,lights that turn off in rooms when there is no movement detected in a certain amount of minutes,it cuts down on energy costs,
2588,,home occupant,a low flow toliet that automatically flushes when someone walks away,it saves water and you never have to manually flush again,
2589,,home occupant,"electronics to automatically come on at set time, around the time I arrive home from work",dont have to do it myself and can immediately relax,
2590,,home occupant,a surveillance system that records movement outside my house and uploads it to my home server,I can see any potential intruders,
2591,,home occupant,a health monitoring system that can detect my blood pressure and other critical health factors,I can take precautionary measures to live a better and healthier life,
2592,,home occupant,a food device that organizes food portions and/or calories,I can maintain a healthy weight and lifestyle,
2593,,home occupant,a securty system that automatically locks doors and windows after a certain time of the day,I can keep intruders out of my house when I'm not there or I'm sleeping,
2594,,home occupant,a device that heats the roof of the house to melt snow,"if there is ever a large snowstorm, I dont run the risk of my roof colapsing",
2595,,cook,to know when my spices are getting low,I know when to buy another of that spice,
2596,,cook,a shopping list to be generated automatically when I throw away empty containers of food,I don't have to write down and maintain the grocery list,
2597,,dog owner,"the door to unlock open automatically when my dog needs to use the bathroom, then let him back in, and then shut and lock the door behind him",I don't have to go home on my lunch break to let the dog out,
2598,,home owner,the Christmas lights to turn off and on automatically,I don't have to worry about a fire,
2599,,home owner,the thermostat to automatically detect when we are in REM sleep to decrease the temperature,we save money and energy,
2600,,home owner,a vacuum that automatically cleans the floor when it senses that it is dirty,my floors stay clean,
2601,,home owner,a garage door that automatically sense when I get in my car and opens the door or when my car approaches the door and opens the door,I don't have to use a garage door opener,
2602,,home owner,smart key locks,I can open my doors with my smartphone or a fingerprint sensor if I lose my keys,
2603,,home owner,a smart shower that reads temperature and time spent in the shower,"I can save water, time, and energy",
2604,,music listener,a refrigerator that plays music,I can easily listen to music while cooking and doing meal preparation,
2605,,home occupant,my shower to immediately turn to a warm temperature before I get in,I can have a comfortable show,
2606,,parent,front door to lock if I am in the shower or busy cooking,my child cannot get out on their own,
2607,,home occupant,my water heater to turn off by itself at night,I can save money on my electricity and water bills,
2608,,home occupant,my television to automatically turn off if I fall asleep on the couch,it doesn't waste extra electricity,
2609,,parent,my stove to immediately cool down after I am done cooking,my child cannot get burned,
2610,,home owner,my doors to lock if an intruder comes in,they cannot escape and will be caught by police,
2611,,parent,my pool to automatically cover itself when my child is playing outside,they will not fall in or rown,
2612,,home occupant,my blinds to close when the house gets too sunny,it stays cool inside,
2613,,home occupant,my dishwasher to automatically open when it's finished,the dishes can dry out easier,
2614,,parent,my tub to stop filling when it reaches halfway,my child can easily take a bath safely,
2615,,home owner,a security system that informs me of doors opening,I can know who is in my home at any time,
2616,,gamer,the house to increase the volume when I'm playing,I can enjoy the game more,
2618,,friend,my house to adjust lighting based on how many people are there,people can see well and the house is nice looking,
2620,,music fan,my house to turn speakers on depending on which room I'm in,I can hear my music wherever I go,
2622,,parent,to protect my children from harm,they will feel safe in their own home and in the immediate area of the home,
2623,,renter,to be able to notify my landlord when there is a maintenance problem automatically though a smart home app.,i don't have to take the time and contact the landlord when I have a maintenance problem,
2624,,parent,the lights to dim when it gets late,my children will get sleepy and know when it's time for bed,
2625,,parent,the oven to only function when I'm in the kitchen,the kids won't hurt themselves,
2627,,home occupant,the fireplace to turn on as soon as I enter the living room,I can be warm and comfortable in the winter,
2628,,smoker,a reminder or alarm sent when I have a lit cigarette and I am not in the same room,I can prevent potential fires,
2629,,home owner,the windows to automatically lock at night,I can prevent break-ins,
2630,,father,to be able to have a robot with cameras on it roam my house at my control.,I can see what's going on with my children when i'm not home.,
2631,,parent,the garage door to only open on my command,the kids can't get out of the house,
2632,,home occupant,my smart home to inform me if I haven't consumed enough calories at certain points in the day. ,I would be able to have energy throughout the day. ,
2633,,parent,an alarm every time my child gets close to the top of the stairs,a fall can be prevented,
2634,,sports fan,my televisions to be automatically switched to the stations that my favorite sports teams are playing on.,I don't forget to watch the games.,
2635,,home owner,the temperature to automatically adjust based on how hot or cold it is outside,I am comfortable,
2637,,person who likes movies,a projector that can be hidden when not in use but when in use can use a wall as a screen with the clarity of a HD TV. ,we can watch movies and TV on a big screen,
2638,,parent,the ability to lock all doors on command,I can put the house into lock down to protect my kids,
2639,,car owner,to be able to start my vehicle from a button inside the house.,I don't have to use an app on my smartphone or go outside to start my car.,
2640,,music lover,my Pandora station to turn on when I enter a room,I can enjoy my music without effort,
2641,,home owner,"a mutil detector for smoke, radon, carbon monoxide all in one unit ",I do not have to have many detectors for different elements in my home,
2642,,farmer,to be notified when my crops need to be watered,i know when to water them,
2643,,home occupant,lights in my smart home to open when I enter a room and turn off as I leave. ,I can conserve energy and save money. ,
2645,,connoisseur of fine bathroom entertainment,a panoramic theater system in my bathroom,I can i can be entertained while I go poopoo.,
2646,,home owner,my smart home to turn off the oven after a certain time,I wont burn the food,
2647,,energy conservationist,to shut off my hot water heaters when I am not at home ,I save energy by not heating water when I don't need it.,
2648,,bath taker,a feature that can fill a tub remotely to the temperature I set as well as dispense correct amounts of soap/bubble bath ,I can do other things while the tub is filling or I can have the tub ready for me when I get in. ,
2649,,home owner,my lawnmower to mow automatically,I wont have to mow the lawn,
2650,,health conscious person,a screen in the kitchen that will choose healthy dinner recipes for my family on a nightly basis,I don't have to make decisions on what to cook for dinner,
2651,,pet owner,some kind of food dispenser that knows when to feed my cats and dogs,I do not have to do it,
2653,,home owner,my alarm to go off when my child opens the door,my kids will be safe,
2654,,cook,a feature in my stove that will tell me the exact temperature of not just the stove but the burners and grill feature as well when in use,I can monitor my food being cooked to the exact degree as some things need precision. ,
2655,,parent,my smart home to turn on the lights when my child cries,I may not have to get up at night,
2656,,cancer patient,a full featured remote to control diagnostics of my health and be transmitted to my television.,I can monitor my diagnostics wireless and possibly have them transmitted to my Dr.,
2658,,parent,my smart home to send a warning if the oven gets turned on by child,my child will be safe,
2660,,uncle,my home to automatically recognize my nephews and nieces through facial recognition software and give them access to the house when they visit.,I do not have to give them a key.,
2661,,parent,my smart home to automatically lock doors at night,my family will be safe,
2662,,home occupant,electronics to turn themselves off if not being used in a certain amount of time,electricity consumption is reduced,
2663,,home occupant,to be notified when a package is left,I can grab it and am aware it's there,
2664,,pet owner,a vacuum cleaner that can automatically clean all pet areas on a daily basis or any area in which they have food or a high concentration of hair,I can keep these areas clean - they seem to get dirtier faster. ,
2665,,parent,a healthy snack dispenser that will be accessible to my child at predetermined times throughout the day,my child can have an approved snack without having to ask,
2666,,home owner,my smart home to  immediately sound alarm if smoke is found,my family will be safe,
2667,,music lover,my favorite music to play at good times of day,I can enjoy it,
2668,,home occupant,toilets to flush automatically.,I don't have to waste time doing it. ,
2669,,home occupant,lightbulbs that turn off if a human presence is not detected,energy will be saved.,
2670,,pet owner,the house to know how much food I have left,it can order some more,
2671,,home owner,my smart home to sound an alarm if someone is walking around after night,my family will be safe,
2672,,home occupant,a system that will turn on sprinklers and automatically open windows and drop down ladders in the case of a fire,my family can quickly evacuate,
2673,,neighbor,to keep my leaves from falling into the neighbors' yard in the fall so I want a machine that can somhow detect a falling leaf and send to to the ground on my own property,my elderly neighbors do not have to rake leaves that are not theirs. ,
2674,,healthy person,exercise to turn to electricity,I can contribute,
2675,,home occupant,the house to adjust the temp to lower while I'm asleep,I can save energy,
2676,,movie watcher,"a tv that gathers information about what I watch, and recommends movies to me",I can broaden my movie collection,
2677,,pet owner,the house to feed the cat,I don't have to ,
2679,,parent,my smart home to alarm if there is excessive screaming,my family will be safe,
2680,,gamer,the house to have a gaming mode,lighting and sounds are adjusted,
2681,,parent of a young child (6),a feature that will set out his clothes for him on a daily basis - basically a system that will put from his closet,he can get dressed without issue in the morning and not have us help him when we could be doing other things,
2682,,home occupant,floors that stay a certain temperature,so I don't get cold,
2683,,businessman,the house to grab the mail,I don't have to go to the mailbox,
2684,,home occupant,"a trash can that will automatically sort and bag trash, recycling and compost",we can practice conservation with minimal effort,
2685,,home occupant,a shower feature that remembers my favorite temperature and automatically sets the correct temperature,I can take a nice shower,
2686,,home owner,doors to unlock automatically if I am specifically detected. ,I don't need to deal with keys. ,
2687,,occupant,the kitchen to clean itself,I don't have to ,
2688,,pool owner,"a feature that can automatically drain my pool in the fall/winter, cover it, and then refill it in the spring",we can enjoy the pool in the months we can use it. ,
2689,,pet owner,the house to reprimand the animals ,I don't have to ,
2690,,reality tv fan,my TV to find all of my favorite shows on demand,I can watch what I want without having to search,
2691,,home occupant,doors to open automatically. ,I can save time. ,
2692,,pet owner,a motion detector in the kitchen,I know when my dogs go in there,
2693,,parent,my smart home to notify me if someone leaves out or comes in after midnight,I will know if there is toruble,
2694,,home owner,my smart home to notify me if there is a leak in the roof,I can prevent further damage to my home,
2695,,home occupant,a stove that can cook multiple items at different temperatures at the same time,I can prepare a meal and save time,
2696,,home occupant,communication to open up with anyone in the house when prompted. ,I can talk to someone without having to find them. ,
2697,,home occupant,a space heater that actually maintains the temperature in the room,my utility bill will be reduced,
2698,,home owner,food created on demand,I can have exactly what I want when I want it.,
2699,,parent,my smart home to alert me when anything rated higher than TV PG is playing on the televisions in the house ,I will know to supervise my kids' TV viewing or to block a show or channel,
2700,,parent,sensor that will monitor my child's body temperature at all times,I can tell when he has a fever,
2701,,pet owner,a camera that connects to my smartphone and comes on when it detects pets but not humans,I can keep a watchful eye on my precocious dogs.,
2702,,home owner,my smart home to alert me to reports of impending violent weather,I can make preparations for safety,
2703,,home owner,a smart shower system,water pressure and heat will remain consistent and strong for the duration of my showers.,
2704,,home occupant,Toilet to automatically flush with voice activation.,So I don't have to touch the toilet handle. ,
2705,,home occupant,to be informed if a person has fallen anywhere in the house. ,I can check to make sure they are OK. ,
2706,,home occupant,a computer program that hooks to an outdoor camera and makes a popup appear on my PC screen when someone comes to the door,I can know who is at the door and decide if I want to answer or not,
2707,,home owner,my smart home to alert me when any light bulb has fewer than 8 hours of life remaining,I can replace them before getting trapped in the dark,
2708,,parent,the crib to have motion detection. ,the crib can automate and control baby's crying with voice control and notify me of potentially dangerous situations. ,
2709,,home owner,a smart floor,"when the interior temperature reaches a certain point, the floors will warm up automatically.",
2710,,home occupant,"my smart home to alert me when streams, shows, podcasts I am interested in are coming on or are posted. ",I don't miss something I want to listen to or watch. ,
2711,,home occupant,lights to auto adjust dimness based on time of day. ,I can save electricity and regulate my sleep schedule with natural lighting. ,
2712,,home occupant,appliances that have a feature like new cars that let you know when your tire pressure is low,my appliances can let me know when a part starts going out,
2713,,home owner,my smart home to alert me to reports of crimes in the area,I can be on alert for security,
2714,,home occupant,Rollup window blind sensors,The window blinds will open automatically during daylight hours and then close when it is dark.,
2715,,home occupant,a sensor in the fridge,it will detect any rotting food or food with bacterium in it so I know to avoid eating it,
2716,,home occupant,my TV to automatically play my favorite show/news channel when I get home from work. ,I don't have to waste time pressing buttons with my remote. ,
2717,,home occupant,a doorbell that video records who is outside of my house ,i can see who is outside before answering the door or when i am not home ,
2718,,home owner,"a touch-screen, voice-activated smart monitor","I can watch videos, television or do other things right when I need to.",
2719,,home occupant,my smart home to tell me if clothes are finished washing or drying. ,I can take them out or transfer them. ,
2720,,home occupant,my shower to automatically adjust the temperature. ,I don't have to change the knob to my desired temperature. ,
2721,,home occupant,an automatic sprinkler ,when it has not rained in awhile the grass will stay green and watered,
2722,,parent,an alert on my phone when my child leaves the house ,i can know when my child is leaving ,
2723,,movie buff,my smart home to alert me to the new releases on Netflix which I add to a watch list each month,I can catch the movies I've been waiting for,
2724,,home occupant,a cat house that automates feeding and give me updates through an app on my phone with webcam monitoring.,I don't have to pay for a cat babysitter whenever I go on vacation. ,
2725,,home occupant,automatic lights ,i do not have to turn on the lights at night ,
2726,,home occupant,automatic doors,they require a finger print or voice command to open,
2727,,home occupant,my faucets to have automatic water filtration built in. ,all the water that I utilize is fresh and free from pollutants. ,
2728,,pet owner,a litterbox that alerts my phone when my cat has used it ,i can clean it right away ,
2729,,home occupant,my smart home to define words for me if I ask it to. ,it is faster and easier to do. ,
2730,,home owner,a smart gaming computer,when I play resource-intensive games the computer adjusts itself to run them at maximum efficiency automatically.,
2731,,home occupant,a robot that can prepare meals for me. ,I don't have to waste time cooking. ,
2732,,home owner,my smart home to adjust the water temperature in the shower by my input into my smart phone,take comfortable showers ,
2733,,home occupant,a radio that i can talk to to play specific artists ,i do not have to use my smartphone to do this ,
2734,,home occupant,automated sprinkler system,when a fire breaks out in the home the sprinklers will activate and take care of everything,
2735,,home occupant,my fridge to tell me whenever food is about to be spoiled with cameras that detect expiration date. ,I can keep a safe and clean refrigerator at all times. ,
2736,,home owner,smart doors,when I come home from shopping they sense my presence and open automatically.,
2737,,home occupant,automatic locking doors at night,i do not forget to lock the doors ,
2738,,home occupant,sensors throughout the house,I can input what I want to find and the sensors can track it for me,
2739,,home occupant,a smart vacuum ,i do not have to clean ,
2740,,home occupant,a machine that has wash/dry cycle in the same machine. ,I don't have to take out my clothes to put from the washer to the dryer. ,
2741,,home owner,a smart bathroom,"it cleans itself automatically when a pre-determined level of ""dirtiness"" is reached.",
2742,,car owner,my smart home to start my car for me on cold mornings ,the heat is ready to go when I get in the car to drive,
2743,,cat parent,Directional cat flap motion sensors,I can tell when my cat has gone inside or outside of the house,
2744,,home occupant,a smart thermostat ,the temperature can automatically be adjusted to save energy ,
2745,,home occupant,smart shades,they will control the amount of light coming in.,
2746,,home occupant,air purifier ,the air is always clean ,
2747,,home occupant,the heater/AC to turn off when I leave and turn back on when I unlock the front door,so that I can save energy.,
2748,,home occupant,"watcher sensitive television,",it will know who is watching and adjust suggested programs and commercials shown accordingly,
2749,,home occupant,smart refrigerator ,it would tell what food would need to be replaced ,
2750,,parent,an alarm to go off if my children's windows open,I can ensure that they are safe.,
2751,,home occupant,a smart tv that can recognize it's viewer's face,it will automatically go to a favorite selected channel for the main viewer watching,
2752,,home owner,my smart home to keep a running weekly calendar which gives me task reminders I put in at the start of each week,I never forget a thing,
2753,,home occupant,my doors to unlock to police or firefighters,we can be accessed in case of an emergency,
2754,,home occupant,outdoor sensors,when an intruder or passersby go by it will automatically light up,
2755,,home occupant,"smar lighting system,",the mood will adjust based on the time of day and occupant's positions.,
2756,,home occupant,my garage door to open when my car pulls into the driveway,I don't need to keep track of a garage door opener,
2757,,home occupant,sensors activated at night by the doors and windows,if an intruder breaks in when everyone is sleeping or gone an alarm will sound the police will be called to the house,
2758,,home owner,my smart home to monitor for mold and other airborne issues,I can be alerted when the air in the home is unsafe,
2759,,home occupant,"temperature sensing oven,",the temperature of the food will be displayed.,
2760,,cat parent,Kitchen counter top motion alarms,A clapping sound will go off to inform my cat he is to get off of the counter immediately.  This will also alert me that he is being naughty again.,
2761,,home occupant,the lights in my room to slowly come on when it is time to wake up,I can be woken ambiently,
2762,,home occupant,lights and other electronics to be shut off after no movement for 30 minutes,it will save electricity and prevent possible electrical bursts,
2763,,home occupant,"secure doggy door,",it will only unlock for my dogs.,
2764,,home occupant,my blinds to close once it gets dark out and open when the sun comes up,I can save myself from having to do it myself.,
2765,,parent,my smart home to monitor my baby's breathing at night,I can be alerted if my baby stops breathing,
2766,,home occupant,fragrance emitter in the bathrooms,when it detects bad odor it will spray ,
2768,,home occupant,smart roofing,it will absorb or reflect the temperature of the outside air to keep the house comfortable.,
2769,,home occupant,a smart driveway,it will heat up to melt away any snow or ice.,
2770,,parent,smart child sensor,I will be alerted immediately if off-limits areas are accessed by children,
2771,,home owner,a smart water filtration and filling system,I can have a constant supply of clean water to keep up with my hydration needs.,
2772,,cat parent,Pantry shelf pressure sensors,"When there is less than three pounds of cat food or of any other items left on that shelf, I am alerted to it.  ",
2773,,home owner,smart tennis court,I can play and practice with an automated system since I am forever alone.,
2774,,home owner,smart blinds,I can have sunlight when it is available without needing to remember to open or close the blinds.,
2775,,home occupant,smart night-light paths,"during the night, i can see where i'm going without turning on overhead lights.",
2776,,home occupant,Water detectors embedded in the floor,"An alarm will go off if there is a water leak, aquarium mishap, a roof leak, a cat puddle, or any other liquid spilled on the floor anywhere in the house.",
2777,,home occupant,smart pooper scooper,it will automatically clean up what my dogs leave in the yard and either dispose of waste through plumbing or place into an airtight receptacle.,
2778,,rural home occupant,Well water pump temperature and shutdown sensors,"I am immediately notified by alarms, both in-house and via cell phone, whenever my well pump has shut down or is running dry.  If it is running dry, i.e. the temperature has risen high enough to burn out the pump, it automatically turns the pump off.   ",
2779,,rural home occupant,Chimney stack temperature and carbon sensors,"An alarm goes off whenever the stack temperature goes higher than 500 degrees Fahrenheit, and another alarm goes off if the carbon in the stack accumulates in a layer thick enough to cause a chimney fire.",
2780,,livestock parent,Outdoor stock tank water level sensors,I am automatically notified whenever the water level drops to less than 10 inches in the tank.,
2781,,pet owner,a pet door to not open when any animal other than mine tries to enter it,wild animals don't get in my house.,
2782,,rural home occupant,Attic moisture detectors,An alarm goes off if the moisture detectors sense any kind of roof leak.,
2783,,home occupant,my washer and dryer to use only enough water and energy to wash and dry my clothes based on the zie of the load,I can save water and energy.,
2784,,rural home occupant,Propane tank level sensors,"When there is less than a week's worth of propane left in the tank, I am notified.",
2785,,home occupant,to be alerted when my monthly energy usage exceed my normal monthly average,I can monitor my energy usage.,
2786,,rural home occupant,Propane line pressure sensors,"An alarm goes off if there is a sudden pressure loss in the propane line, indicative of a propane leak inside or outside the house.",
2787,,home occupant,my fridge or freezer to automatically shut if I leave it open,I save on energy and my food doesn't get spoiled.,
2788,,home occupant,my shower to play music when I turn it on.,my showers are more fun.,
2789,,home occupant,my home to detect the weather and adjust the heating/AC as necessary.,I save on energy costs.,
2790,,home occupant,an oven synced with my smartphone so it preheats based on a recipe I have pulled up.,cooking is easier and more efficient.,
2791,,home owner,anti-fogging/de-fogging windows.,So i can see outside when it is foggy or when it rains.,
2792,,home occupant,my appliances to interface with each other. I want them to share information about what they're doing (probably based on a recipe on my cellphone),cooking can be more efficient.,
2793,,home occupant,automatic shades to adjust based on the amount of sunlight hitting the home.,it's not too bright and not too dark inside and I save energy.,
2794,,home occupant,smart solar panels that adjust themselves.,sunlight is collected more efficiently.,
2795,,home occupant,surveillance system that alerts me via smartphone,I can access the system even when I'm not home in case I need to alert the police.,
2796,,home owner,"smart mirrors that display relevant information when I step in front, such as weather, news, sports scores, etc.",my day can start off better.,
2797,,home occupant,rooms to accept voice commands when I enter to play videos/music/etc determined by my smartphone on whatever device is available in the room.,I have an easier time accessing my media.,
2799,,pet owner,my smart home to tell me when the water levels in my fish tanks fall more than 10% in an hour,if my fish tank is leaking I'll be able to save my fish.,
2800,,pet owner,a smart home to notify me when the temperature in my fish tanks rise or fall below 5 degrees to what I have set,I can save my fish in case of a heating malfunction.,
2801,,pet owner,my smart phone to be able to remind me when to do water changes in my tanks,I can be reminded to do fish chores.,
2802,,home occupant,my smart house to make me aware of when I am low on certain food in the house,I can be aware of what I need to pick up soon at the grocery store. ,
2803,,home occupant,my smart home to inform me when the temperature in my fridge/freezer drops 5 below it's set temp,I can prevent food from spoiling if they break.,
2804,,pet owner,my smart home to be able to dispense food for my pets when I am away,I can be at work or on vacation without worrying about my pets,
2805,,pet owner,a smart home that turns the lights to my fish tanks on and off throughout the day,I save energy and have my fish on a proper schedule,
2806,,pet owner,a smart home to be able to detect ammonia levels in my fish tanks,"if they get high, I can change the water to prevent ammonia from harming my fish.",
2807,,pet owner,my smart home to tell me when the filters in my fish tanks stop working,I can be made aware to save my fish.,
2808,,home occupant,a smart home to remind me to take my vitamins and track when I have taken them,I can be reminded to take my vitamins or ask if I've already taken it.,
2809,,parent of a child on the autism spectrum,the ability to be alerted on my phone if any doors or windows are opened and then be able to set specific alarms to multiple people ,my child cannot wander/elope (without having to lock him in the house with the alarm set),
2810,,home owner,"the ability to fully control my electric/gas fireplace remotely (including turn on/off, heat setting, etc..)",I can have alternative forms of heating available to me before I reach my home. ,
2811,,parent,"to be able to use the ""find my iphone"" type app to find important things like kids lovies/blankies etc..",I don't have to deal with meltdowns as a result of missing items and my kids,
2812,,home owner,a couch that is heated and air conditioned by remote control ,I can reduce other sources of heat and cooling by making my immediate area more comfortable,
2813,,parent,a refridgerator that has a section that locks and unlocks via remote,I can keep certain snacks and special items (medicine/wine/etc) away from the kids (and my husband),
2814,,cook/chef,a kitchen that will help me find recipes and talk me through making them,I can make healthy/fun/interesting meals on the fly without thinking,
2815,,parent/cook/chef/shopper,a refridgerator/cabinets that automatically knows what we have in stock and how much of it,the process of deciding on recipes and building shopping lists can be automated,
2816,,parent,a place to store medicine and have the dispensing be done automatically based on the prescription,we avoid mixing up prescriptions and we know they are safely stored.,
2817,,parent,a robot that automatically picks up stray clothes/toys/items,my house is always clean and I don't have to keep up,
2818,,car owner,a garage that monitors my vehicles needs ,so that I know what my vehicle needs and if there are any problems potentially occurring.,
2826,,occupant,automatic coffee machine,coffee is ready when I wake up and the machine doesn't have to stay on for longer than necessary,
2829,,home occupant,my home to talk to me ask me questions,I can tell it what I want it to do,
2830,,occupant,remote power outtage alert,"if too much time passes before electrical services are restored I can make necessary arrangements (spoiled food, pets)",
2832,,home occupant,beer coming out of my sink,I can drink,
2833,,owner,"digital readout of power usage for week, month, year",I can monitor my power consumption and estimate my costs,
